ndb_no,nrfi,long_name,manufacturer,serving_size,serving_size_uom,household_serving_size,household_serving_size_uom,energy_per_serving,energy_per_serving_uom
45037956,0.957244992256,SAUERKRAUT,"Meijer, Inc.",30.0,g,2.0,Tbsp,5.09999990463,kcal
45037974,-0.20421411097,HOT DOGS,"Meijer, Inc.",57.0,g,1.0,LINK,169.86000061,kcal
45037976,-0.527935087681,GRAHAMS,"Meijer, Inc.",31.0,g,2.0,FULL CRACKER SHEETS,129.88999939,kcal
45037978,-0.548180758953,"MEIJER, CHIPSTERS, REAL CHOCOLATE CHIP COOKIES","Meijer, Inc.",30.0,g,3.0,COOKIES,150.0,kcal
45037991,0.847718000412,FRENCH STYLE GREEN BEANS,"Meijer, Inc.",120.0,g,0.5,cup,20.3999996185,kcal
45037993,-0.075186572969,OVER ROASTED TURKEY BREAST,"Meijer, Inc.",56.0,g,2.0,ONZ,59.9200019836,kcal
45037994,-0.0336970165372,UNCURED BLACK FOREST SMOKED HAM,"Meijer, Inc.",56.0,g,2.0,ONZ,59.9200019836,kcal
45038000,-0.220571056008,"MEIJER, ORIENTAL FRIED RICE MIX WITH VERMICELLI & HERBS","Meijer, Inc.",70.0,g,2.5,ONZ,240.100006104,kcal
45038010,-0.269234776497,HONEY TURKEY BREAST,"Meijer, Inc.",56.0,g,2.0,ONZ,70.0,kcal
45038021,-0.508183896542,"MEIJER, SPANISH RICE MIX WITH VERMICELLI & SPANISH SEASONING","Meijer, Inc.",56.0,g,0.333000004292,CUP DRY RICE-VERMICELLI MIX AND 1 TBSP DRY SEASONING MIX) (ABOUT 1 CUP COOKED)] | [(ABOUT,189.840011597,kcal
45038029,-0.00142184994183,"MEIJER, SLICED HAM, HICKORY SMOKED","Meijer, Inc.",56.0,g,2.0,ONZ,59.9200019836,kcal
45038031,-0.0642182305455,UNCURED SMOKED HAM,"Meijer, Inc.",56.0,g,2.0,ONZ,59.9200019836,kcal
45038056,-0.13668847084,"MEIJER, HICKORY SMOKED BONELESS HONEY HAM STEAKS","Meijer, Inc.",56.0,g,2.0,ONZ,70.0,kcal
45038057,3.18230295181,MIXED VEGETABLES,"Meijer, Inc.",125.0,g,0.5,cup,35.0,kcal
45038070,-0.221302002668,SLICED TURKEY PEPPERONI,"Meijer, Inc.",28.0,g,16.0,SLICES,70.0,kcal
45038081,0.0304771307856,SLICED PEPPERONI ,"Meijer, Inc.",28.0,g,16.0,SLICES,140.0,kcal
45038099,0.55430918932,"MEIJER, CHILI SEASONING MIX","Meijer, Inc.",9.0,g,1.0,CUP,29.9699993134,kcal
45038100,-0.153592959046,"MEIJER, CHILI SEASONING MIX, MILD","Meijer, Inc.",9.0,g,1.0,CUP CHILI | SEASONS,29.9699993134,kcal
45038102,0.0710318908095,WHOLE CASHEWS,"Meijer, Inc.",30.0,g,18.0,KERNELS,180.0,kcal
45038103,-0.0851976722479,ROASTED PECANS,"Meijer, Inc.",28.0,g,19.0,PIECES | ABOUT,199.919998169,kcal
45038106,0.0669383406639,"MEIJER, DRY ROASTED UNSALTED PEANUTS","Meijer, Inc.",28.0,g,0.25,cup,159.880004883,kcal
45038107,0.071826942265,"MEIJER, DRY ROASTED PEANUTS, HONEY ROASTED","Meijer, Inc.",28.0,g,0.25,cup,150.080001831,kcal
45038108,-0.930810630322,"MEIJER, ROASTED SPANISH PEANUTS, SALTED","Meijer, Inc.",28.0,g,0.25,cup,159.880004883,kcal
45038110,-1.15435814857,CHOCOLATE SANDWICH COOKIES,"Meijer, Inc.",35.0,g,3.0,COOKIES,159.950012207,kcal
45038111,-0.323253244162,WALNUT HALVES & PIECES,"Meijer, Inc.",34.0,g,0.330000013113,cup,219.979995728,kcal
45038114,-0.154682829976,"MEIJER, SALTED COCKTAIL PEANUTS","Meijer, Inc.",28.0,g,0.25,cup,169.960006714,kcal
45038119,-0.267847210169,"MEIJER, DRY ROASTED PEANUTS","Meijer, Inc.",28.0,g,0.25,cup,159.880004883,kcal
45038120,-0.369302481413,"MEIJER, LIGHTLY SALTED DRY ROASTED PEANUTS","Meijer, Inc.",28.0,g,0.25,cup,159.880004883,kcal
45038121,0.178276091814,BURRITO SEASONING MIX,"Meijer, Inc.",6.0,g,1.0,BURRITO) | MIX (SEASONS,19.9799995422,kcal
45038122,-0.848624587059,"MEIJER, BURRITO SEASONING MIX","Meijer, Inc.",6.0,g,2.0,tsp,19.9799995422,kcal
45038125,-0.712791442871,TACO SEASONING MIX,"Meijer, Inc.",6.0,g,2.0,TACOS) | MIX (SEASONS,19.9799995422,kcal
45038129,-0.196947038174,"MEIJER, ORIGINAL SLOPPY JOE SAUCE","Meijer, Inc.",64.0,g,0.25,cup,35.2000007629,kcal
45038135,-0.306457012892,"MEIJER, HOT DOG CHILI SAUCE","Meijer, Inc.",59.0,g,0.25,cup,50.1500015259,kcal
45038138,-1.64705884457,CHEESY TACO SEASONING MIX,"Meijer, Inc.",5.0,g,2.0,tsp,15.0,kcal
45038139,-1.28902935982,TACO SEASONING MIX,"Meijer, Inc.",6.0,g,2.0,tsp,19.9799995422,kcal
45038140,-0.38309237361,"MEIJER, HOT & SPICY TACO SEASONING MIX","Meijer, Inc.",6.0,g,2.0,tsp,19.9799995422,kcal
45038142,-0.306060612202,"MEIJER, FREE & LIGHT, DRINK MIX, PINK LEMONADE","Meijer, Inc.",1.89999997616,g,8.0,FL OZ) 0.125 PACKET | (MAKES,4.99700021744,kcal
45038151,8.94560909271,"MEIJER, FREE & LIGHT, DRINK MIX, CHERRY, POMEGRANATE","Meijer, Inc.",1.70000004768,g,0.125,PACKET (MAKES 8 FL OZ),4.99800014496,kcal
45038160,-1.40952384472,"MEIJER, FREE & LIGHT, DRINK MIX, LEMONADE","Meijer, Inc.",1.89999997616,g,0.125,"PACKET, MAKES 8 FL OZ",4.99700021744,kcal
45038161,-2.26433563232,"MEIJER, FREE & LIGHT, ARTIFICIALLY FLAVORED DRINK MIX, ICED TEA PEACH","Meijer, Inc.",0.879999995232,g,0.125,PACKET (MAKES 8 FL OZ),4.9983997345,kcal
45038166,-0.856349825859,"MEIJER, BEEF STEW SEASONING MIX","Meijer, Inc.",5.0,g,1.0,CUP STEW) | (SEASONS,15.0,kcal
45038168,0.0,"MEIJER, SLOPPY JOE SEASONING MIX","Meijer, Inc.",4.5,g,1.0,SANDWICH) | (SEASONS,14.9849996567,kcal
45038171,0.213927716017,CHILI WITH BEANS,"Meijer, Inc.",247.0,g,1.0,cup,279.109985352,kcal
45038172,0.69898712635,"MEIJER, ORGANIC SLOPPY JOE SAUCE","Meijer, Inc.",64.0,g,0.25,cup,35.2000007629,kcal
45038173,-0.974571824074,"MEIJER, CORNED BEEF HASH","Meijer, Inc.",236.0,g,1.0,cup,379.959991455,kcal
45038178,-2.11951780319,"MEIJER, BROWN GRAVY MIX","Meijer, Inc.",6.0,g,0.25,CUP) | (MAKES,25.0200004578,kcal
45038180,-0.417117118835,"MEIJER, FREE & LIGHT, DRINK MIX, RASPBERRY, LEMONADE","Meijer, Inc.",1.10000002384,g,0.5,PACKET,5.00500011444,kcal
45038181,-0.15200830996,"MEIJER, CHICKEN GRAVY MIX","Meijer, Inc.",6.0,g,0.25,CUP) | ( MAKES,19.9799995422,kcal
45038184,-0.818785607815,"MEIJER, CHILI NO BEAN","Meijer, Inc.",236.0,g,1.0,cup,280.840026855,kcal
45038186,-0.170718342066,"MEIJER, FREE & LIGHT, ICED TEA DRINK TEA, PEACH","Meijer, Inc.",1.0,g,0.5,PACKET,5.0,kcal
45038188,-0.207415193319,"MEIJER, PORK GRAVY MIX","Meijer, Inc.",6.0,g,0.25,CUP) | (MAKES,19.9799995422,kcal
45038189,-0.751731574535,"MEIJER, FREE & LIGHT, DRINK MIX, FRUIT PUNCH","Meijer, Inc.",1.29999995232,g,0.5,PACKET,5.0049996376,kcal
